City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,saint-denis,48.9167,2.3333,21.31,39,0,6.17,FR,1717955234
130,cabedelo,-6.9811,-34.8339,29.37,77,51,7.43,BR,1717955234
131,wailua homesteads,22.0669,-159.378,24.44,83,75,7.72,US,1717955234
132,ouallam,14.3188,2.0866,39.38,26,3,2.82,NE,1717955234
133,geraldton,-28.7667,114.6,19.23,77,100,4.63,AU,1717955234
134,saudarkrokur,65.7461,-19.6394,5.78,91,85,3.97,IS,1717955234
135,kasongo-lunda,-6.4667,16.8167,25.25,32,65,1.01,CD,1717955235
136,ust-nera,64.5667,143.2,6.11,50,72,1.77,RU,1717955235
137,arraial do cabo,-22.9661,-42.0278,25.98,69,0,8.75,BR,1717955235
138,preobrazheniye,42.9019,133.9064,12.55,91,61,2.57,RU,1717955235
139,hashtrud,37.4779,47.0508,18.36,40,32,3.59,IR,1717955235
140,alice springs,-23.7,133.8833,4.75,100,0,2.57,AU,1717955235
141,vilyuysk,63.7553,121.6247,13.89,75,36,2.68,RU,1717955235
142,roccella ionica,38.322,16.4009,24.01,62,64,1.29,IT,1717955235
143,three points,32.0767,-111.3137,35.55,11,61,4.4,US,1717955235
144,mount pearl,47.5166,-52.7813,17.19,75,75,4.63,CA,1717955235
145,bilibino,68.0546,166.4372,7.21,58,6,1.51,RU,1717955235
146,hadibu,12.65,54.0333,28.66,75,63,6.68,YE,1717955235
147,kavaratti,10.5669,72.642,28.08,85,100,5.64,IN,1717955235
148,vorgashor,67.5833,63.95,2.11,96,100,4.69,RU,1717954938
149,quemado de guines,22.7853,-80.2536,24.12,53,53,2.0,CU,1717955236
150,tafuna,-14.3358,-170.72,26.97,69,40,5.14,AS,1717955236
151,nouadhibou,20.931,-17.0347,24.99,65,0,9.26,MR,1717955236
152,nova vicosa,-17.8919,-39.3719,24.83,69,100,2.79,BR,1717955236
153,torghay,49.6339,63.4981,23.51,59,49,4.85,KZ,1717955236
154,sur,22.5667,59.5289,33.1,47,13,3.54,OM,1717955236
155,villennes-sur-seine,48.9414,1.9914,20.84,43,0,5.66,FR,1717955236
156,carnarvon,-24.8667,113.6333,20.81,86,100,2.6,AU,1717955236
157,majdanpek,44.4277,21.946,21.02,69,75,1.49,RS,1717955236
158,buta,2.7858,24.73,22.05,99,100,1.44,CD,1717955236
159,qaqortoq,60.7167,-46.0333,6.68,94,100,1.29,GL,1717955236
160,kandukur,15.2167,79.9167,30.47,53,99,7.03,IN,1717955236
161,anadyr,64.75,177.4833,2.28,93,0,4.0,RU,1717955236
162,minas de marcona,-15.2119,-75.1103,18.12,53,17,5.51,PE,1717955236
163,nurota,40.5614,65.6886,30.99,17,82,4.86,UZ,1717955236
164,tavrichanka,43.3378,131.8639,12.92,99,86,1.28,RU,1717955237
165,zuunmod,47.7069,106.9528,13.57,66,83,1.3,MN,1717954982
166,avarua,-21.2078,-159.775,21.03,64,40,2.06,CK,1717955237
167,nuuk,64.1835,-51.7216,5.34,100,75,6.17,GL,1717955237
168,northam,51.0333,-4.2167,14.23,79,49,6.37,GB,1717955237
169,lebu,-37.6167,-73.65,12.99,85,58,7.84,CL,1717955237
170,nueva gerona,21.8833,-82.8,31.16,62,66,4.83,CU,1717955237
171,nanga eboko,4.6833,12.3667,21.56,97,77,1.4,CM,1717955237
172,mana,5.6592,-53.7767,27.83,81,29,2.91,GF,1717955237
173,talnakh,69.4865,88.3972,3.45,98,88,1.08,RU,1717955237
174,atafu village,-8.5421,-172.5159,28.27,73,100,3.16,TK,1717955237
175,ati,13.2154,18.3353,33.6,36,69,5.78,TD,1717955237
176,whitehorse,60.7161,-135.0538,18.78,26,75,4.12,CA,1717955032
177,namibe,-15.1961,12.1522,20.41,87,18,2.21,AO,1717955237
178,st. john's,47.5649,-52.7093,17.66,74,75,4.63,CA,1717955117
179,tsiombe,-25.3,45.4833,17.71,64,97,4.87,MG,1717955237
